Creation Time : 04/07/26 14:32
Time,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,sw_id,pdm_id,iat,fuel_press,lamda,gear,batt_volt,digital,ect,oil_press,fuel_consump,rear_left_speed,ecu_temp,oil_temp,map,tp,rear_right_speed,engine_in,engine_rpm,carter_temp
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
sec,g,g,g,dps,dps,dps,,,C,kPa,,,V,,C,kPa,ccmin^-1,kph,C,C,kPa,%,kph,C,rpm,C
04/07/2026 14:32:14.812, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:14.850, 0.151767998933792,-0.0424560010433197,0.994543969631195,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:14.851, ,,,-0.0525000020861626,-0.122500002384186,0.174999997019768,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:14.862, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:14.912, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:14.951, 0.145423993468285,-0.03855200111866,0.984784007072449,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:14.951, ,,,-0.0350000001490116,-0.0874999985098839,0.21000000834465,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:14.962, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:15.012, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:15.051, 0.149327993392944,-0.0409919992089272,0.985271990299225,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:15.051, ,,,-0.140000000596046,-0.105000004172325,0.140000000596046,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:15.061, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:15.112, ,,,,,,,,52,,,,,,72,,,,,65,,,,,,
04/07/2026 14:32:15.112, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:15.151, 0.14835199713707,-0.0395279973745346,0.983807981014252,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:15.151, ,,,-0.0525000020861626,-0.122500002384186,0.122500002384186,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:15.161, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:15.211, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:15.251, 0.149327993392944,-0.0375759974122047,0.986735999584198,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:15.251, ,,,-0.0175000000745058,-0.0350000001490116,0.157499998807907,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:15.261, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:15.311, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:15.351, 0.150792002677917,-0.0434319972991943,0.985759973526001,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:15.351, ,,,-0.0700000002980232,-0.122500002384186,0.192499995231628,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:15.361, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:15.396, ,,,,,,,0,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:15.397, ,,,,,,119,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:15.411, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:15.451, 0.144935995340347,-0.0356239974498749,0.994055986404419,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:15.451, ,,,-0.0874999985098839,-0.0700000002980232,0.227500006556511,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:15.461, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:15.511, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:15.551, 0.151767998933792,-0.0434319972991943,0.990639984607697,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:15.551, ,,,-0.0175000000745058,-0.174999997019768,0.105000004172325,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:15.561, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:15.611, ,,,,,,,,52,,,,,,72,,,,,65,,,,,,
04/07/2026 14:32:15.611, ,,,,,,,,,55,,,,,,1,,,,,95,,,,,
04/07/2026 14:32:15.612, ,,,,,,,,,,0,,,,,,0,,,,,1,,,,
04/07/2026 14:32:15.612, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:15.612, ,,,,,,,,,,,,13,,,,,,38,,,,,2,,0
04/07/2026 14:32:15.612, ,,,,,,,,,,,,,0,,,,,,,,,,,,
04/07/2026 14:32:15.651, 0.147863999009132,-0.0346480011940002,0.985759973526001,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:15.651, ,,,-0.105000004172325,-0.0525000020861626,0.157499998807907,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:15.661, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:15.711, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:15.751, 0.149815991520882,-0.03855200111866,0.99015200138092,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:15.751, ,,,-0.0525000020861626,-0.122500002384186,0.174999997019768,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:15.761, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:15.811, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:15.851, 0.147376000881195,-0.0419679991900921,0.988200008869171,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:15.851, ,,,0.0175000000745058,-0.0700000002980232,0.192499995231628,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:15.861, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:15.911, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:15.951, 0.146888002753258,-0.0370879992842674,0.9896639585495,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:15.951, ,,,-0.0350000001490116,-0.0525000020861626,0.21000000834465,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:15.961, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:16.011, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:16.051, 0.14835199713707,-0.0400159992277622,0.98771196603775,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:16.051, ,,,-0.174999997019768,-0.122500002384186,0.174999997019768,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:16.061, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:16.111, ,,,,,,,,52,,,,,,72,,,,,65,,,,,,
04/07/2026 14:32:16.111, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:16.151, 0.14835199713707,-0.0375759974122047,0.986247956752777,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:16.151, ,,,-0.0874999985098839,-0.0874999985098839,0.245000004768372,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:16.161, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:16.211, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:16.251, 0.152743995189667,-0.03855200111866,0.986735999584198,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:16.251, ,,,-0.0525000020861626,-0.0350000001490116,0.174999997019768,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:16.261, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:16.311, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:16.351, 0.145423993468285,-0.0419679991900921,0.989175975322723,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:16.351, ,,,-0.0350000001490116,-0.0874999985098839,0.21000000834465,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:16.361, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:16.395, ,,,,,,,0,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:16.396, ,,,,,,119,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:16.411, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:16.451, 0.150792002677917,-0.0409919992089272,0.988200008869171,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:16.451, ,,,-0.0874999985098839,-0.0175000000745058,0.157499998807907,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:16.461, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:16.511, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:16.551, 0.145911991596222,-0.0400159992277622,0.988200008869171,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:16.551, ,,,-0.140000000596046,-0.140000000596046,0.21000000834465,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:16.561, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:16.611, ,,,,,,,,52,,,,,,72,,,,,65,,,,,,
04/07/2026 14:32:16.611, ,,,,,,,,,55,,,,,,1,,,,,95,,,,,
04/07/2026 14:32:16.611, ,,,,,,,,,,0,,,,,,0,,,,,1,,,,
04/07/2026 14:32:16.611, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:16.612, ,,,,,,,,,,,,12,,,,,,38,,,,,2,,0
04/07/2026 14:32:16.612, ,,,,,,,,,,,,,0,,,,,,,,,,,,
04/07/2026 14:32:16.651, 0.150303989648819,-0.0366000011563301,0.98771196603775,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:16.651, ,,,-0.140000000596046,-0.122500002384186,0.157499998807907,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:16.661, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:16.711, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:16.751, 0.145423993468285,-0.0395279973745346,0.986735999584198,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:16.751, ,,,0.0350000001490116,-0.140000000596046,0.157499998807907,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:16.761, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:16.811, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:16.851, 0.147376000881195,-0.0380639992654324,0.988200008869171,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:16.851, ,,,-0.0874999985098839,-0.0525000020861626,0.192499995231628,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:16.860, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:16.911, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:16.951, 0.150792002677917,-0.0405040010809898,0.987223982810974,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:16.951, ,,,-0.0175000000745058,-0.0350000001490116,0.192499995231628,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:16.960, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:17.011, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:17.051, 0.150792002677917,-0.0356239974498749,0.99015200138092,,,,,,,,,,,,,,,,,,,,,,,
